Temp(C),Wind(km/h),Humidity(%),Visibility(m),Pressure(mb),Time_Now(D/M/Y H:M:S)
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:08:55
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:08:57
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:08:58
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:01
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:03
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:05
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:07
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:09
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:11
16.0,20.0,48.0,6000.0,1018.0,18/12/2021 11:09:13
